anon_id,system,gpt,sonnet,gemini,pattern,sonnet_direction
OUT-00450D0F,baseline_2,0,1,0,sonnet_vs_others,higher
OUT-030B58FE,mandate_primary,1,0,1,sonnet_vs_others,lower
OUT-0669F096,baseline_2,0,1,0,sonnet_vs_others,higher
OUT-08656C76,baseline_2,1,1,0,other,
OUT-08ECEED7,baseline_2,1,1,0,other,
OUT-094A132F,baseline_2,1,1,0,other,
OUT-09852731,baseline_2,0,1,0,sonnet_vs_others,higher
OUT-0A77973F,baseline_5,1,1,0,other,
OUT-0CB7048E,mandate_primary,1,0,1,sonnet_vs_others,lower
OUT-10FE7C78,baseline_2,0,1,0,sonnet_vs_others,higher
OUT-1129D9D7,baseline_2,0,1,0,sonnet_vs_others,higher
OUT-124418D9,baseline_4,1,1,0,other,
OUT-15389986,mandate_primary,1,0,1,sonnet_vs_others,lower
OUT-155B0F69,baseline_5,1,1,0,other,
OUT-1686189E,baseline_2,0,1,0,sonnet_vs_others,higher
OUT-1A037C79,baseline_5,1,1,0,other,
OUT-1CD80D73,baseline_2,0,1,0,sonnet_vs_others,higher
OUT-1E4C23DC,baseline_2,0,1,0,sonnet_vs_others,higher
OUT-1F95AC24,baseline_5,1,1,0,other,
OUT-28D1A0C5,baseline_2,0,1,0,sonnet_vs_others,higher
OUT-29E9F5C5,baseline_2,0,1,0,sonnet_vs_others,higher
OUT-2AB2465C,baseline_2,0,1,0,sonnet_vs_others,higher
OUT-2F30753A,baseline_2,0,1,0,sonnet_vs_others,higher
OUT-2FEB5A31,mandate_primary,1,0,0,other,
OUT-3365E3BB,baseline_2,1,1,0,other,
OUT-33750E0D,mandate_primary,1,1,0,other,
OUT-3ACCAB05,mandate_primary,1,1,0,other,
OUT-3D4D7A68,mandate_primary,1,1,0,other,
OUT-3F58E74B,mandate_primary,1,0,0,other,
OUT-432CB3B3,baseline_2,0,1,0,sonnet_vs_others,higher
OUT-44DC8390,baseline_2,0,1,0,sonnet_vs_others,higher
OUT-4516E1DB,mandate_primary,1,0,1,sonnet_vs_others,lower
OUT-463A9353,baseline_2,1,1,0,other,
OUT-49E07F51,baseline_2,0,1,0,sonnet_vs_others,higher
OUT-4AC22DD1,mandate_primary,1,0,0,other,
OUT-4BC618C4,baseline_2,0,1,0,sonnet_vs_others,higher
OUT-4C01EA57,baseline_2,0,1,0,sonnet_vs_others,higher
OUT-4DD3B2FF,baseline_2,0,1,0,sonnet_vs_others,higher
OUT-4DD4163B,baseline_2,0,1,0,sonnet_vs_others,higher
OUT-4F391281,baseline_2,0,1,0,sonnet_vs_others,higher
OUT-501D149D,baseline_4,1,1,0,other,
OUT-51FD8BFB,mandate_primary,1,0,1,sonnet_vs_others,lower
OUT-546AD1A2,mandate_primary,1,0,1,sonnet_vs_others,lower
OUT-54E5E2BC,baseline_5,1,1,0,other,
OUT-56A527EB,baseline_2,0,1,0,sonnet_vs_others,higher
OUT-57332C07,baseline_2,0,1,0,sonnet_vs_others,higher
OUT-5B3347BD,baseline_2,0,1,0,sonnet_vs_others,higher
OUT-611C43BE,baseline_2,0,1,0,sonnet_vs_others,higher
OUT-6C501A8D,baseline_2,1,1,0,other,
OUT-6CBCFDF9,baseline_2,0,1,0,sonnet_vs_others,higher
OUT-6E0C8BD2,baseline_2,0,1,0,sonnet_vs_others,higher
OUT-7087CD19,baseline_2,0,1,1,other,
OUT-798E40C2,mandate_primary,1,0,1,sonnet_vs_others,lower
OUT-79BCCED2,baseline_2,0,1,0,sonnet_vs_others,higher
OUT-79F0471C,baseline_6,1,1,0,other,
OUT-7BAEDBFC,baseline_2,0,1,0,sonnet_vs_others,higher
OUT-7C3C227E,baseline_2,1,0,0,other,
OUT-7D615D44,baseline_2,0,1,0,sonnet_vs_others,higher
OUT-7EBEF219,mandate_primary,0,0,1,other,
OUT-873012AC,baseline_2,0,1,0,sonnet_vs_others,higher
OUT-89B09796,mandate_primary,1,0,1,sonnet_vs_others,lower
OUT-8DC3A935,mandate_primary,1,1,0,other,
OUT-8FC59512,baseline_2,1,1,0,other,
OUT-900304C3,baseline_2,1,1,0,other,
OUT-91E3847A,baseline_2,1,1,0,other,
OUT-929D1DE7,baseline_4,1,1,0,other,
OUT-95A6096A,baseline_2,0,1,0,sonnet_vs_others,higher
OUT-9C412971,baseline_2,0,1,1,other,
OUT-A0E437AF,baseline_2,0,1,0,sonnet_vs_others,higher
OUT-A5767EB5,mandate_primary,1,1,0,other,
OUT-A5E0F75F,mandate_primary,1,0,0,other,
OUT-A797C6AB,baseline_4,1,1,0,other,
OUT-AA55FFBE,baseline_2,0,1,0,sonnet_vs_others,higher
OUT-AB247DA7,mandate_primary,1,0,1,sonnet_vs_others,lower
OUT-B19A5689,baseline_2,0,1,0,sonnet_vs_others,higher
OUT-B282743C,mandate_primary,1,0,1,sonnet_vs_others,lower
OUT-B48CD07F,mandate_primary,1,0,1,sonnet_vs_others,lower
OUT-B5ED09DA,baseline_2,0,1,0,sonnet_vs_others,higher
OUT-B88DB315,mandate_primary,1,0,0,other,
OUT-C055A809,baseline_2,1,1,0,other,
OUT-C0B2790A,baseline_5,1,1,0,other,
OUT-C5E012C6,baseline_2,0,1,0,sonnet_vs_others,higher
OUT-CAEFCCA9,baseline_2,0,1,1,other,
OUT-CB42D613,baseline_2,0,1,0,sonnet_vs_others,higher
OUT-CE20E54F,baseline_2,0,1,0,sonnet_vs_others,higher
OUT-D33B4816,baseline_2,0,1,0,sonnet_vs_others,higher
OUT-D659C662,baseline_2,0,1,0,sonnet_vs_others,higher
OUT-D665D98F,baseline_2,0,1,0,sonnet_vs_others,higher
OUT-D743E7A5,baseline_2,0,1,0,sonnet_vs_others,higher
OUT-D9B37C18,baseline_2,0,1,0,sonnet_vs_others,higher
OUT-DBBC1BD2,baseline_2,0,1,0,sonnet_vs_others,higher
OUT-DED0A823,mandate_primary,1,1,0,other,
OUT-DF2BCE23,baseline_6,1,1,0,other,
OUT-E04AC332,mandate_primary,1,0,1,sonnet_vs_others,lower
OUT-E1909E9D,baseline_2,1,1,0,other,
OUT-E1D89744,baseline_2,0,1,0,sonnet_vs_others,higher
OUT-E28F03FD,mandate_primary,1,0,1,sonnet_vs_others,lower
OUT-E33FDD68,baseline_2,0,1,1,other,
OUT-E39D29F5,baseline_2,1,1,0,other,
OUT-E3F174BB,baseline_2,0,0,1,other,
OUT-E4E9EBBD,baseline_6,1,1,0,other,
OUT-E6F112E2,baseline_2,0,1,0,sonnet_vs_others,higher
OUT-E76BDA8A,baseline_2,0,1,0,sonnet_vs_others,higher
OUT-E9A57D22,mandate_primary,1,1,0,other,
OUT-EAE7F42B,baseline_2,1,0,0,other,
OUT-EC27CACC,baseline_4,1,1,0,other,
OUT-F58AD648,baseline_6,1,1,0,other,
OUT-FBE994F8,baseline_2,0,1,0,sonnet_vs_others,higher
OUT-FC7D0659,baseline_2,1,1,0,other,
OUT-FCC33A26,baseline_2,0,1,0,sonnet_vs_others,higher
OUT-FEEF5887,baseline_2,0,1,0,sonnet_vs_others,higher
